Period	Date observed	Latitude	Longitude	Environment	Urban	Rural	Suburban	Village_small_town	Surface cover under tree	grass_tree	undergrowth_tree	bare_soil_tree	litter_tree	artificial_tree	Surface cover in open	Grass_open	undergrowth_open	bare_soil_open	litter_open	artificial_open	surface_tree_cover	Distance to artificial light source (m)	0-5_light	5-10_light	10-20_light	20+light	Standing	Alone	Species	Approx distance to coast (km)	Dist. from thermometer under tree to edge of canopy (m)	Dist. from thermometer in open either to edge of the canopy of nearest tree or to nearest building (m)	Percentage canopy cover	Canopy index	T max open	T min open	T max canopy	T min canopy	T max open - T max canopy	T min open- T min canopy	Tmax_open-Tmin_open	Tmax_canopy-Tmin_canopy	D = (Tmax open - T min open) - (T max canopy - T min canopy)	Canopy_index_2	Ruralfactor	20+lightfactor
1	10/10/2016	53.3538168	-2.0543757	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	alone	1	other deciduous tree	80	1.5	20	81-90	85	15.7	0.6	16.5	7	-0.8	-6.4	15.1	9.5	5.6	7225	rural	20+light
1	10/22/2016	55.670131	12.523538	urban	1	0	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	4	11.7	8.5	81-90	85	9.7	5	8	5.7	1.7	-0.7	4.7	2.3	2.4	7225	nrural	20+light
1	10/22/2016	51.0706915	-2.644397	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	with others	0	Quercus robur	28.9	8.4	22	91-100	95	17.4	-3.1	15.8	3.5	1.6	-6.6	20.5	12.3	8.2	9025	rural	20+light
1	10/12/2016	56.961349	-2.25999	rural	0	1	0	0	undergrowth	0	1	0	0	0	bare soil	0	0	1	0	0	undergrowth_bare soil	20+	0	0	0	1	with others	0	Quercus robur	6.4	3	20	81-90	85	12	6	11	3	1	3	6	8	-2	7225	rural	20+light
1	11/9/2016	51.5327		urban	1	0	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	5-10	0	1	0	0	with others	0	Quercus petraea	0.64	15.7	6.8	81-90	85	20.7	3.9	17.3	4.1	3.4	-0.2	16.8	13.2	3.6	7225	nrural	n20+light
1	10/8/2016	53.46221667	-2.10281645	suburban	0	0	1	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	64	1	2	81-90	85	14.7	10.6	12	11.8	2.7	-1.2	4.1	0.2	3.9	7225	nrural	20+light
1	10/22/2016	55.963	-3.205	urban	1	0	0	0	litter	0	0	0	1	0	bare soil	0	0	1	0	0	litter_bare soil	20+	0	0	0	1	with others	0	Quercus robur	2	5	13	71-80	75	16.4	0	18.2	0	-1.8	0	16.4	18.2	-1.8	5625	nrural	20+light
1	10/9/2016	50.729357	-4.56045	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	with others	0	Quercus petraea	5.25	7	15	81-90	85	20.8	14	22.3	16	-1.5	-2	6.8	6.3	0.5	7225	rural	20+light
1	10/11/2016	53.768373	-1.6663934	rural	0	1	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	20+	0	0	0	1	alone	1	Quercus robur	90	4.5	30	81-90	85	16.3	7.4	12.8	8	3.5	-0.6	8.9	4.8	4.1	7225	rural	20+light
1	10/9/2016	50.966053	-0.299093	rural	0	1	0	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	15.5	9	19	91-100	95	21.4	-1.6	13.9	4	7.5	-5.6	23	9.9	13.1	9025	rural	20+light
1	10/17/2016	51.32781	1.139263	rural	0	1	0	0	undergrowth	0	1	0	0	0	bare soil	0	0	1	0	0	undergrowth_bare soil	20+	0	0	0	1	with others	0	Quercus robur	5	3.5	100	61-70	65	15	4	14.7	6.4	0.3	-2.4	11	8.3	2.7	4225	rural	20+light
1	10/16/2016	52.285559	-1.748686	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	alone	1	Quercus robur	160	8	20	71-80	75	20.4	1	18.4	6	2	-5	19.4	12.4	7	5625	rural	20+light
1	10/11/2016	51.9708021	1.1347702	rural	0	1	0	0	bare soil	0	0	1	0	0	grass	1	0	0	0	0	bare soil_grass	20+	0	0	0	1	with others	0	Quercus robur	14	6	25	91-100	95	21.5	5.8	17	9.9	4.5	-4.1	15.7	7.1	8.6	9025	rural	20+light
1	10/17/2016	53.3996862	-1.2550715	rural	0	1	0	0	undergrowth	0	1	0	0	0	undergrowth	0	1	0	0	0	undergrowth_undergrowth	20+	0	0	0	1	with others	0	other oak	100	0.5	20	51-60	55	19.5	7.7	19.3	9	0.2	-1.3	11.8	10.3	1.5	3025	rural	20+light
